FirstTeam,SecondTeam,Date,W/L,HomeCourt
NYK,BOS,02/27/2023,W,1
BOS,NYK,02/27/2023,L,0
DET,CHA,02/27/2023,L,0
CHA,DET,02/27/2023,W,1
PHI,MIA,02/27/2023,L,1
MIA,PHI,02/27/2023,W,0
ORL,NOP,02/27/2023,W,0
NOP,ORL,02/27/2023,L,1
OKC,SAC,02/26/2023,L,1
SAC,OKC,02/26/2023,W,0
DAL,LAL,02/26/2023,L,1
LAL,DAL,02/26/2023,W,0
ATL,BKN,02/26/2023,W,1
HOU,POR,02/26/2023,L,0
POR,HOU,02/26/2023,W,1
BKN,ATL,02/26/2023,L,0
MIN,GSW,02/26/2023,L,0
CLE,TOR,02/26/2023,W,1
TOR,CLE,02/26/2023,L,0
CHI,WAS,02/26/2023,W,1
WAS,CHI,02/26/2023,L,0
DEN,LAC,02/26/2023,W,1
GSW,MIN,02/26/2023,W,1
LAC,DEN,02/26/2023,L,0
PHX,MIL,02/26/2023,L,0
MIL,PHX,02/26/2023,W,1
MIA,CHA,02/25/2023,L,0
CHA,MIA,02/25/2023,W,1
DEN,MEM,02/25/2023,L,0
NYK,NOP,02/25/2023,W,1
IND,ORL,02/25/2023,W,0
MEM,DEN,02/25/2023,W,1
NOP,NYK,02/25/2023,L,0
ORL,IND,02/25/2023,L,1
SAS,UTA,02/25/2023,L,0
UTA,SAS,02/25/2023,W,1
PHI,BOS,02/25/2023,L,1
TOR,DET,02/25/2023,W,0
DET,TOR,02/25/2023,L,1
BOS,PHI,02/25/2023,W,0
CHI,BKN,02/24/2023,W,1
SAC,LAC,02/24/2023,W,0
LAC,SAC,02/24/2023,L,1
CLE,ATL,02/24/2023,L,0
ATL,CLE,02/24/2023,W,1
OKC,PHX,02/24/2023,L,0
PHX,OKC,02/24/2023,W,1
NYK,WAS,02/24/2023,W,0
MIA,MIL,02/24/2023,L,0
MIL,MIA,02/24/2023,W,1
GSW,HOU,02/24/2023,W,1
MIN,CHA,02/24/2023,L,1
CHA,MIN,02/24/2023,W,0
BKN,CHI,02/24/2023,L,0
HOU,GSW,02/24/2023,L,0
WAS,NYK,02/24/2023,L,1
OKC,UTA,02/23/2023,L,0
UTA,OKC,02/23/2023,W,1
POR,SAC,02/23/2023,L,0
SAC,POR,02/23/2023,W,1
DET,ORL,02/23/2023,L,0
ORL,DET,02/23/2023,W,1
MEM,PHI,02/23/2023,L,0
CLE,DEN,02/23/2023,L,1
DEN,CLE,02/23/2023,W,0
DAL,SAS,02/23/2023,W,1
TOR,NOP,02/23/2023,W,1
NOP,TOR,02/23/2023,L,0
IND,BOS,02/23/2023,L,1
BOS,IND,02/23/2023,W,0
GSW,LAL,02/23/2023,L,0
SAS,DAL,02/23/2023,L,0
LAL,GSW,02/23/2023,W,1
PHI,MEM,02/23/2023,W,1
LAC,PHX,02/16/2023,W,0
PHX,LAC,02/16/2023,L,1
WAS,MIN,02/16/2023,W,0
MIN,WAS,02/16/2023,L,1
CHI,MIL,02/16/2023,L,1
MIL,CHI,02/16/2023,W,0
NOP,LAL,02/15/2023,L,0
LAL,NOP,02/15/2023,W,1
CHA,SAS,02/15/2023,W,1
OKC,HOU,02/15/2023,W,1
HOU,OKC,02/15/2023,L,0
IND,CHI,02/15/2023,W,1
CHI,IND,02/15/2023,L,0
BKN,MIA,02/15/2023,W,1
DET,BOS,02/15/2023,L,0
BOS,DET,02/15/2023,W,1
MIA,BKN,02/15/2023,L,0
ATL,NYK,02/15/2023,L,1
NYK,ATL,02/15/2023,W,0
DEN,DAL,02/15/2023,W,1
UTA,MEM,02/15/2023,L,0
MEM,UTA,02/15/2023,W,1
DAL,DEN,02/15/2023,L,0
PHI,CLE,02/15/2023,W,1
SAS,CHA,02/15/2023,L,0
CLE,PHI,02/15/2023,L,0
WAS,POR,02/14/2023,W,0
POR,WAS,02/14/2023,L,1
SAC,PHX,02/14/2023,L,0
PHX,SAC,02/14/2023,W,1
BOS,MIL,02/14/2023,L,0
MIL,BOS,02/14/2023,W,1
GSW,LAC,02/14/2023,L,0
LAC,GSW,02/14/2023,W,1
ORL,TOR,02/14/2023,L,0
TOR,ORL,02/14/2023,W,1
BKN,NYK,02/13/2023,L,0
MIN,DAL,02/13/2023,W,0
NYK,BKN,02/13/2023,W,1
NOP,OKC,02/13/2023,W,0
OKC,NOP,02/13/2023,L,1
ATL,CHA,02/13/2023,L,0
